id,name,brand,sale,priceU,salePriceU
115085299,ОГЭ 2023. Русский язык: 36 вариантов,Национальное Образование,55,4776,2149
115085301,ОГЭ 2023. Математика: 36 вариантов,Национальное Образование,55,4776,2149
115085312,ЕГЭ 2023. Русский язык: 36 вариантов,Национальное Образование,55,4784,2152
76402472,Логопедические домашние задания для дете,ИЗДАТЕЛЬСТВО ГНОМ,49,3664,1868
99857412,ЕГЭ 2023. Русский язык: 36 вариантов,Национальное Образование,52,4472,2146
54061429,Я считаю до двадцати. Математика для дет,ТЦ СФЕРА,12,698,614
94589966,ОГЭ-2023. Русский язык. 36 вариантов,Национальное Образование,0,2151,2151
54126846,Я считаю до десяти. Математика для детей,ТЦ СФЕРА,13,706,614
53826982,Я считаю до пяти. Математика для детей 4,ТЦ СФЕРА,34,1489,982
76105316,Атлас и Карты по географии 6 класс,ДРОФА,40,2147,1287
53863511,Афанасьева Английский язык 3 класс. Рабочая тетрадь Rainbow English,ДРОФА,37,2585,1628
54126850,Я считаю до пяти. Рабочая тетрадь по мат,ТЦ СФЕРА,11,706,628
119142301,"Набор рабочих тетрадей Русский язык, Математика, Окружающий мир 1 класс. УМК ""Школа России"". ФГОС",Просвещение,38,7495,4646
75552534,Горецкий. Прописи к русской азбуке. 1 класс. 4 части,Просвещение,54,3283,1510
76105317,Атлас и Карты. География 9 класс,ДРОФА,40,2147,1287
57759799,Я начинаю считать. Математика для детей 3-4 лет. Рабочая тетрадь. ФГОС ДО (цветная),ТЦ СФЕРА,4,722,693
33407507,"Юным умникам и умницам Информатика, логика, математика 1 класс Тетрадь Холодова (комплект 2 части)",Росткнига,31,1923,1327
34640951,Тетрадь для обучения грамоте детей дошкольного возраста № 1. ФГОС,Детство-Пресс,15,962,817
29393879,Плешаков. Зелёные страницы,Просвещение,48,4257,2213
97781718,Иностранные книги для учебы Fly HIGH,Книжный магазин,0,7710,7710
91075573,"География 8 класс. Атлас+Контурные карты. УМК ""Полярная звезда""",Просвещение,25,2402,1801
115085336,ЕГЭ 2023. Математика: 36 вариантов,Национальное Образование,55,4719,2123
94243651,"ВПР ФИОКО. СТАТГРАД. Русский язык, Математика, Окружающий мир. 4 класс. 25 вариантов. ТЗ. ФГОС",Экзамен,0,4216,4216
94589592,ОГЭ-2023. Математика. 36 вариантов,Национальное Образование,0,2151,2151
14385999,Юный гитарист В. Калинин,Издательство Музыка,20,5437,4349
121026969,ОГЭ-2023. Математика. Типовые экзаменационные варианты. 36 вариантов,Национальное Образование,49,4431,2259
42603922,Геталова О. В музыку с радостью. Начальное музыкальное образование,Издательство Композитор Санкт-Петербург,36,6760,4326
29960901,"Математика Школа России 1 класс Рабочая тетрадь Моро, Волкова (комплект 2 части)",Просвещение,40,2800,1679
65006157,Контурные карты 6 кл. География,Просвещение,25,1165,873
34447109,Рабочая тетрадь для развития математических представлений у дошкольников с ОНР (с 5 до 6 лет). ФГОС,Детство-Пресс,8,905,832
33407508,"Юным умникам и умницам Информатика, логика, математика 2 класс Тетрадь Холодова (комплект 2 части)",Росткнига,31,1923,1327
91075461,"География 5 класс. Атлас+Контурные карты. УМК ""Полярная звезда""",Просвещение,25,2402,1801
32575633,Юным умникам и умницам За 3 месяца до школы Рабочая тетрадь Холодова,Росткнига,27,1745,1273
32575665,"Прописи Школа России 1 класс Горецкий, Федосова (комплект 4 части)",Просвещение,47,3790,2008
93216177,"Петерсон ""Раз-ступенька, два ступенька"" (в 2-х ч) ч1, ч2. Математика для дошкольников 5-6лет, 6-7лет",Просвещение/Бином. Лаборатория знаний,25,3023,2267
34447098,Тетрадь для детей старшего дошкольного возраста с ОНР с 5 до 6 лет. Старшая группа. ФГОС,Детство-Пресс,8,824,757
14385995,Сольфеджио для 3-го класса ДМШ под редакцией Е. Давыдова и С. Запорожец,Издательство Музыка,23,4082,3143
84920868,География. 5 класс. Контурные карты,Просвещение,0,885,885
29507402,Окружающий мир. Тесты. 3 класс,Просвещение,47,2049,1086
14385993,Сольфеджио для 1-го класса ДМШ: Нотное издание Барабошкина А.,Издательство Музыка,22,3624,2826
66221510,ОГЭ 2023 МАТЕМАТИКА 50 ВАРИАНТОВ ТВЭЗ,Издательство Экзамен,0,1988,1988
34640949,Тетрадь для детей старшего дошкольного возраста с ОНР (с 6 до 7 лет) Подготовит. к школе гр. ФГОС,Детство-Пресс,3,710,688
19305529,Русский язык 2 класс. Проверочные работы,Просвещение,36,2138,1368
34640942,Рабочая тетрадь-прописи для развития математических представлений у дошкольников с ОНР с 6 до 7,Детство-Пресс,23,1229,946
24717296,Чистописание и словарные слова. 2 класс. Прописи по программе Школа России. Комплект из 2-х книг.,5 за знания,55,1891,850
76403081,Развиваем связную речь у детей 4 и 5 лет,ИЗДАТЕЛЬСТВО ГНОМ,46,3015,1628
29349729,География. Атлас. 6 класс (РГО),ДРОФА,41,1453,857
103254851,ОГЭ 2023. Математика: 36 вариантов,Национальное Образование,0,2232,2232
83435817,"Обучающие задания и упражнения для преодоления дизорфографии, дисграфии и дислексии",ИД ЛИТЕРА,50,2110,1054
34447105,Тетрадь для детей среднего дошкольного в,Детство-Пресс,9,747,679
91075537,"География 6 класс. Атлас+Контурные карты. УМК ""Полярная звезда""",Просвещение,25,2402,1801
83783476,Комплект Атлас и Контурные карты 7 класс,ДРОФА,35,2151,1397
79877843,"Волкова. ВПР за курс начальной школы. Комплект. Русский язык, Математика, Окружающий мир. ФГОС",Экзамен,0,2633,2633
113225683,Рабочая тетрадь для развития математичес,Детство-Пресс,20,844,675
9805481,Прописи для дошкольников 5-6 лет,Просвещение/Бином. Лаборатория знаний,38,1319,817
12312871,Прописи для детей 4 лет,Издательство Учитель,35,1651,1073
93212426,"Атлас + Контурные карты (комплект). География 8-9 кл. к УМК ""Полярная звезда"" /Матвеев",Просвещение,25,2954,2215
29453944,Литературное чтение 2 класс  Бойкина,Издательство Просвещение,42,2248,1303
8135112,"Новейшая хрестоматия по литературе. 3 класс. 7-е изд., испр. и перераб.",Эксмо,47,1631,864
94806521,Пособ. От слова к букве.5-7л.ч.2,Просвещение,25,2232,1673
65006717,Контурные карты 7 кл. География,Просвещение,25,1165,873
82332223,География. 6 класс. Контурные карты,Просвещение,0,885,885
14386006,Русская музыкальная литература: Третий год обучения предмету для ДМШ Козлова Н.П.,Издательство Музыка,19,3977,3220
